recipe_id,name,user_id,stored_total_calories,stored_protein,stored_fat,stored_carbs,ingredients_json_type,ingredients_json_length,has_shadow_ingredients_json,created_at,updated_at
72656369-7065-45f3-9137-363732373731,Салат Мемоза 2,6d693735-7835-4316-bc68-75676b7a6676,4.71,0.38,0.35,0.02,array,2,true,2026-01-01 14:19:06.568052+00,2026-01-07 17:08:04.396+00
72656369-7065-45f3-b137-363733353137,Салат Весна,6d6a7772-326d-4677-b332-346a6a646c61,89.30,0.05,10.01,0.18,array,3,true,2026-01-02 11:02:37.348513+00,2026-01-02 11:02:34.968+00
72656369-7065-45f3-9137-363733353132,Салат Оливье,6d6a7772-326d-4677-b332-346a6a646c61,0.00,0.00,0.00,0.00,array,5,true,2026-01-02 10:54:23.691706+00,2026-01-02 10:54:20.26+00
