line,recipe_ref,ingredient_name,food_id,amount_g,status,reason
"2","67506470-86b6-4e47-80b7-6e33f55773db","Творог домашний (из молока 1%)","bc03e5c8-e00a-4106-83b9-4b3c247c7d11","100","ok","imported"
"3","67506470-86b6-4e47-80b7-6e33f55773db","Яйца куриные (2–3 шт)","f4022e2a-9cf3-42c2-8a1c-6c873c866524","150","ok","imported"
"4","fc568746-e9f9-42ab-a75c-5864a7f0c1e7","Творог домашний (из молока 1%)","bc03e5c8-e00a-4106-83b9-4b3c247c7d11","200","ok","imported"
"5","fc568746-e9f9-42ab-a75c-5864a7f0c1e7","Яйцо куриное","f4022e2a-9cf3-42c2-8a1c-6c873c866524","60","ok","imported"
"6","fc568746-e9f9-42ab-a75c-5864a7f0c1e7","Сыр Эмменталь","9e7cf54a-8460-4315-8957-c1faa28a837d","60","ok","imported"
