entry_id,user_id,date,product_name,distinct_food_matches,matched_food_ids,matched_food_names,matched_sources,audit_status
c6f55afc-98d8-4dfe-9854-629a8a5c09fb,6d693735-7835-4316-bc68-75676b7a6676,2026-01-03,Рыба белая,0,null,null,null,unmatched
c9dcb094-5ca0-48f6-9f50-b341bdad5295,6d6a7772-326d-4677-b332-346a6a646c61,2026-01-02,Йогурт натуральный,0,null,null,null,unmatched
6897b85b-dea2-4617-8113-7f9217f989f5,6d6a7772-326d-4677-b332-346a6a646c61,2026-01-02,Огурец,0,null,null,null,unmatched
e5366677-d7cf-41ac-ab72-2e5c9bd7ccc1,6d6a7772-326d-4677-b332-346a6a646c61,2026-01-02,Помидор,0,null,null,null,unmatched
d5cf624d-2fb9-463c-bc07-bc4c1f84adeb,6d693735-7835-4316-bc68-75676b7a6676,2026-01-02,Рецепт,0,null,null,null,unmatched
4c01e41c-6b2f-4995-b2f7-3591238b4c6b,6d6a7772-326d-4677-b332-346a6a646c61,2026-01-02,Салат Весна,0,null,null,null,unmatched
62158f80-8f9c-4ba1-875c-21bff3eab418,6d693735-7835-4316-bc68-75676b7a6676,2026-01-02,Салат оливье,0,null,null,null,unmatched
b09f4707-af19-4e89-a70e-639c5d8830c5,6d693735-7835-4316-bc68-75676b7a6676,2026-01-02,творог,0,null,null,null,unmatched
cf645677-80c0-47cb-9472-bdeaf564ede8,6d6a7772-326d-4677-b332-346a6a646c61,2026-01-02,Творог 5%,0,null,null,null,unmatched
a8bb8214-f232-42bf-b60f-73a8ca0830c7,6d693735-7835-4316-bc68-75676b7a6676,2026-01-01,Салат Мемоза 2,0,null,null,null,unmatched
118f38c2-df06-48d9-bfd4-b2b7bc0e56eb,6d693735-7835-4316-bc68-75676b7a6676,2026-01-01,Салат оливье,0,null,null,null,unmatched
fc8e0d96-7e49-47e2-b178-d65097a66969,6d693735-7835-4316-bc68-75676b7a6676,2026-01-01,сыр,0,null,null,null,unmatched
7a0dd996-16e5-454c-b32d-f025e38b1fcf,6d693735-7835-4316-bc68-75676b7a6676,2026-01-01,творог,0,null,null,null,unmatched
ba0cd5b7-ef36-4198-98ee-7b252a74d72a,6d693735-7835-4316-bc68-75676b7a6676,2025-12-31,Салат оливье,0,null,null,null,unmatched
4f79d01b-916c-4284-9957-7d98645ce205,6d693735-7835-4316-bc68-75676b7a6676,2025-12-31,Салат Оливье,0,null,null,null,unmatched
0f6df236-f312-40a3-8254-fb07a71e83d1,6d693735-7835-4316-bc68-75676b7a6676,2025-12-31,сыр,0,null,null,null,unmatched
d2d52104-8108-43f5-88d4-c1abac9f8d92,6d693735-7835-4316-bc68-75676b7a6676,2025-12-27,Брокколи,0,null,null,null,unmatched
8c48ed88-e62a-4548-99a0-bb59ee7ba934,6d693735-7835-4316-bc68-75676b7a6676,2025-12-27,Куриная грудка (сырая),0,null,null,null,unmatched
651dcf84-9559-43fb-99e9-b24a72830fa8,6d693735-7835-4316-bc68-75676b7a6676,2025-12-27,Масло сливочное,0,null,null,null,unmatched
32e53231-1fd0-45dc-a993-bba0d6629c3c,6d693735-7835-4316-bc68-75676b7a6676,2025-12-26,Куриная грудка (сырая),0,null,null,null,unmatched
03335350-572f-4edc-a5c0-c5cead88b32d,6d6a636d-7066-4743-876e-733139786f69,2025-12-26,Лосось,0,null,null,null,unmatched
90d6ed1e-9174-4792-ad19-b174e6417016,6d693735-7835-4316-bc68-75676b7a6676,2025-12-25,Брокколи,0,null,null,null,unmatched
8a578e0c-b2d3-4c75-af80-387716c07dfa,6d693735-7835-4316-bc68-75676b7a6676,2025-12-25,Куриная грудка (сырая),0,null,null,null,unmatched
59c423b7-b08c-4258-9da4-192fe3aac0f8,6d693735-7835-4316-bc68-75676b7a6676,2025-12-25,Масло сливочное,0,null,null,null,unmatched
cb859c96-a29c-4b83-97a6-831f07513d82,6d693735-7835-4316-bc68-75676b7a6676,2025-12-25,Масло сливочное,0,null,null,null,unmatched
8cddfa62-023b-4ca3-b569-0a0c81f359fd,6d693735-7835-4316-bc68-75676b7a6676,2025-12-24,Брокколи,0,null,null,null,unmatched
d2e2ee48-0f4c-474a-85cb-99260a2ff709,6d693735-7835-4316-bc68-75676b7a6676,2025-12-24,Брокколи,0,null,null,null,unmatched
666f1bdf-0afc-45b7-916c-c6a3f8e07c4a,6d693735-7835-4316-bc68-75676b7a6676,2025-12-24,Масло сливочное,0,null,null,null,unmatched
e60c7a51-6815-414e-9557-54c71b8af921,6d693735-7835-4316-bc68-75676b7a6676,2025-12-24,Масло сливочное,0,null,null,null,unmatched
31994090-9cd9-4f1a-8788-ed2607a46f5b,6d693735-7835-4316-bc68-75676b7a6676,2025-12-23,Брокколи,0,null,null,null,unmatched
2a06d3fe-5a80-4ad7-98ca-4f181ac898f5,6d693735-7835-4316-bc68-75676b7a6676,2025-12-23,Куриная грудка (сырая),0,null,null,null,unmatched
163a3e09-d9c8-4cf7-9573-d64e7e3923be,6d6a636d-7066-4743-876e-733139786f69,2025-12-22,Брокколи,0,null,null,null,unmatched
2c1a49e9-e3ab-41cc-86c1-8ab2b7f58768,6d6a636d-7066-4743-876e-733139786f69,2025-12-22,Лосось,0,null,null,null,unmatched
3cd70604-864c-42c7-b72a-3f6cd39b48b3,6d6a636d-7066-4743-876e-733139786f69,2025-12-22,Лосось,0,null,null,null,unmatched
a4cdb036-c0aa-40cd-be43-41ae8d9710dc,6d693735-7835-4316-bc68-75676b7a6676,2025-12-19,Брокколи,0,null,null,null,unmatched
dae5f10d-acd7-4a8f-98f9-4b6889917594,6d6a636d-7066-4743-876e-733139786f69,2025-12-19,Брокколи,0,null,null,null,unmatched
f3993771-7544-4f11-93d8-dd12d4e865cf,6d6a636d-7066-4743-876e-733139786f69,2025-12-19,Брокколи,0,null,null,null,unmatched
99a23b4d-5777-4653-8a39-1f83363a355b,6d693735-7835-4316-bc68-75676b7a6676,2025-12-19,Масло сливочное,0,null,null,null,unmatched
71dba137-8f77-4c8d-a377-63c66a22e49e,6d693735-7835-4316-bc68-75676b7a6676,2025-12-19,Салат обычный,0,null,null,null,unmatched
