recipe_id,recipe_name,ingredient_position,raw_ingredient_name,raw_amount,generated_search_key,matched_food_id,matched_food_name,matched_source,similarity_score
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,e78a84c3-b40f-40c6-964a-b5baf9d4ffb0,масло растительное нерафинированное,food_aliases.normalized_alias_ilike,null
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,9deab641-d804-4086-9f5c-b0643a148a2f,масло растительное рафинированное,food_aliases.normalized_alias_ilike,null
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,e78a84c3-b40f-40c6-964a-b5baf9d4ffb0,масло растительное нерафинированное,foods.name_ilike,null
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,9deab641-d804-4086-9f5c-b0643a148a2f,масло растительное рафинированное,foods.name_ilike,null
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,9deab641-d804-4086-9f5c-b0643a148a2f,масло растительное рафинированное,foods.name_similarity,0.6333
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,e78a84c3-b40f-40c6-964a-b5baf9d4ffb0,масло растительное нерафинированное,foods.name_similarity,0.5588
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,c93002f9-5ebd-4f8d-b7e5-303f24d7cc57,Сельдь в растительном масле,foods.name_similarity,0.4839
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,e4dbde4f-70b6-4542-b916-0e52b82d5015,Тунец в растительном масле,foods.name_similarity,0.4839
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,9270652d-69aa-4acb-b551-7ce1ef790eae,масло миндальное,foods.name_similarity,0.4000
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,e983bbc0-5386-481a-887f-d9bbddcc64b7,масло расторопши,foods.name_similarity,0.3846
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,9e6e09a4-086f-4aba-8c17-533d46054a17,масло льняное,foods.name_similarity,0.3750
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,989f1485-2faa-4a66-956c-25fcb90881b7,масло рапсовое,foods.name_similarity,0.3600
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,d0fb82a3-e1dd-4884-9566-83479df04a71,масло репейное,foods.name_similarity,0.3600
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,c6981341-b28c-4dbf-a3bd-1d4eeea47096,масло овсяное,foods.name_similarity,0.3200
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,704afe11-6382-411e-8089-e351a313d220,масло лимонное,foods.name_similarity,0.3077
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,0ffb5c4c-3a1d-4531-9859-debeb587a452,масло топлёное,foods.name_similarity,0.3077
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,91a0ffab-1b2d-4b34-85b6-0938b8351564,масло горчичное,foods.name_similarity,0.2963
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,d3027306-08fa-4e78-be72-45da0dbcb090,масло кунжутное,foods.name_similarity,0.2963
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,692a77e1-6876-40e5-bbb1-55ed1205f795,масло рыжиковое,foods.name_similarity,0.2963
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,a3cb8eb5-6c82-4aee-8c77-25e80afba531,масло тыквенное,foods.name_similarity,0.2963
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,a7d37672-02e6-499c-8023-11985d580cd9,масло маковое,foods.name_similarity,0.2917
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,dda2e61c-1f8d-49c2-a874-a659f064700b,масло конопляное,foods.name_similarity,0.2857
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,0a3921f4-c3d5-435d-aec8-b19d2be0e3e1,масло кукурузное,foods.name_similarity,0.2857
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,168d0fe0-82cd-4392-b711-ef128b9f1d0f,масло соевое,foods.name_similarity,0.2800
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,a9166b33-adf9-4362-9e69-a6114bf104a3,масло гхи топлёное,foods.name_similarity,0.2667
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,f8c41126-6bc0-4f1d-8127-df11d486438e,масло подсолнечное,foods.name_similarity,0.2667
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,dbbf1dbb-3ef4-434b-8b7c-acd8ead490af,масло сливочное 60,foods.name_similarity,0.2667
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,84eb6aaa-cbdf-468f-a2b1-9575c7792b7d,масло сливочное 67,foods.name_similarity,0.2667
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,71a25be7-a6d8-439e-8d0c-de6890faa38f,масло сливочное 82,foods.name_similarity,0.2667
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,179c9f5d-515e-4487-bd02-8b23b5bc17b6,масло ореховое,foods.name_similarity,0.2593
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,ecc9e60e-981e-42d4-9786-1b3f87e7e6e0,масло кокосовое,foods.name_similarity,0.2500
72656369-7065-45f3-b137-363733353137,Салат Весна,3,масло растительное,10,масло растительное,b8a0553f-d4fb-4dc7-aba7-8a4583aa61c5,масло оливковое,foods.name_similarity,0.2500
