line,recipe_ref,ingredient_name,food_id,amount_g,status,reason
"111","","","","","skipped","missing_recipe_id_and_recipe_name"
"112","","","","","skipped","missing_recipe_id_and_recipe_name"
"113","","","","","skipped","missing_recipe_id_and_recipe_name"
"114","","","","","skipped","missing_recipe_id_and_recipe_name"
"115","","","","","skipped","missing_recipe_id_and_recipe_name"
"116","","","","","skipped","missing_recipe_id_and_recipe_name"
"117","","","","","skipped","missing_recipe_id_and_recipe_name"
"118","","","","","skipped","missing_recipe_id_and_recipe_name"
"119","","","","","skipped","missing_recipe_id_and_recipe_name"
"120","","","","","skipped","missing_recipe_id_and_recipe_name"
"121","","","","","skipped","missing_recipe_id_and_recipe_name"
"122","","","","","skipped","missing_recipe_id_and_recipe_name"
"123","","","","","skipped","missing_recipe_id_and_recipe_name"
"124","","","","","skipped","missing_recipe_id_and_recipe_name"
"125","","","","","skipped","missing_recipe_id_and_recipe_name"
"126","","","","","skipped","missing_recipe_id_and_recipe_name"
"127","","","","","skipped","missing_recipe_id_and_recipe_name"
"128","","","","","skipped","missing_recipe_id_and_recipe_name"
"129","","","","","skipped","missing_recipe_id_and_recipe_name"
"130","","","","","skipped","missing_recipe_id_and_recipe_name"
"131","","","","","skipped","missing_recipe_id_and_recipe_name"
"132","","","","","skipped","missing_recipe_id_and_recipe_name"
"133","","","","","skipped","missing_recipe_id_and_recipe_name"
"134","","","","","skipped","missing_recipe_id_and_recipe_name"
"135","","","","","skipped","missing_recipe_id_and_recipe_name"
"136","","","","","skipped","missing_recipe_id_and_recipe_name"
"137","","","","","skipped","missing_recipe_id_and_recipe_name"
"138","","","","","skipped","missing_recipe_id_and_recipe_name"
"139","","","","","skipped","missing_recipe_id_and_recipe_name"
"140","","","","","skipped","missing_recipe_id_and_recipe_name"
"141","","","","","skipped","missing_recipe_id_and_recipe_name"
"142","","","","","skipped","missing_recipe_id_and_recipe_name"
"143","","","","","skipped","missing_recipe_id_and_recipe_name"
"144","","","","","skipped","missing_recipe_id_and_recipe_name"
"145","","","","","skipped","missing_recipe_id_and_recipe_name"
"146","","","","","skipped","missing_recipe_id_and_recipe_name"
"147","","","","","skipped","missing_recipe_id_and_recipe_name"
"148","","","","","skipped","missing_recipe_id_and_recipe_name"
"149","","","","","skipped","missing_recipe_id_and_recipe_name"
"150","","","","","skipped","missing_recipe_id_and_recipe_name"
"151","","","","","skipped","missing_recipe_id_and_recipe_name"
"152","","","","","skipped","missing_recipe_id_and_recipe_name"
"153","","","","","skipped","missing_recipe_id_and_recipe_name"
"154","","","","","skipped","missing_recipe_id_and_recipe_name"
"155","","","","","skipped","missing_recipe_id_and_recipe_name"
"156","","","","","skipped","missing_recipe_id_and_recipe_name"
"157","","","","","skipped","missing_recipe_id_and_recipe_name"
"158","","","","","skipped","missing_recipe_id_and_recipe_name"
"159","","","","","skipped","missing_recipe_id_and_recipe_name"
"160","","","","","skipped","missing_recipe_id_and_recipe_name"
"161","","","","","skipped","missing_recipe_id_and_recipe_name"
"162","","","","","skipped","missing_recipe_id_and_recipe_name"
"163","","","","","skipped","missing_recipe_id_and_recipe_name"
"164","","","","","skipped","missing_recipe_id_and_recipe_name"
"165","","","","","skipped","missing_recipe_id_and_recipe_name"
"166","","","","","skipped","missing_recipe_id_and_recipe_name"
"167","","","","","skipped","missing_recipe_id_and_recipe_name"
"168","","","","","skipped","missing_recipe_id_and_recipe_name"
"169","","","","","skipped","missing_recipe_id_and_recipe_name"
"170","","","","","skipped","missing_recipe_id_and_recipe_name"
"171","","","","","skipped","missing_recipe_id_and_recipe_name"
"172","","","","","skipped","missing_recipe_id_and_recipe_name"
"173","","","","","skipped","missing_recipe_id_and_recipe_name"
"174","","","","","skipped","missing_recipe_id_and_recipe_name"
"175","","","","","skipped","missing_recipe_id_and_recipe_name"
"176","","","","","skipped","missing_recipe_id_and_recipe_name"
"177","","","","","skipped","missing_recipe_id_and_recipe_name"
"178","","","","","skipped","missing_recipe_id_and_recipe_name"
"179","","","","","skipped","missing_recipe_id_and_recipe_name"
"180","","","","","skipped","missing_recipe_id_and_recipe_name"
"181","","","","","skipped","missing_recipe_id_and_recipe_name"
"182","","","","","skipped","missing_recipe_id_and_recipe_name"
"183","","","","","skipped","missing_recipe_id_and_recipe_name"
"184","","","","","skipped","missing_recipe_id_and_recipe_name"
"185","","","","","skipped","missing_recipe_id_and_recipe_name"
"186","","","","","skipped","missing_recipe_id_and_recipe_name"
"187","","","","","skipped","missing_recipe_id_and_recipe_name"
"188","","","","","skipped","missing_recipe_id_and_recipe_name"
"189","","","","","skipped","missing_recipe_id_and_recipe_name"
"190","","","","","skipped","missing_recipe_id_and_recipe_name"
"191","","","","","skipped","missing_recipe_id_and_recipe_name"
"192","","","","","skipped","missing_recipe_id_and_recipe_name"
"193","","","","","skipped","missing_recipe_id_and_recipe_name"
"194","","","","","skipped","missing_recipe_id_and_recipe_name"
"195","","","","","skipped","missing_recipe_id_and_recipe_name"
"196","","","","","skipped","missing_recipe_id_and_recipe_name"
"197","","","","","skipped","missing_recipe_id_and_recipe_name"
"198","","","","","skipped","missing_recipe_id_and_recipe_name"
"199","","","","","skipped","missing_recipe_id_and_recipe_name"
"200","","","","","skipped","missing_recipe_id_and_recipe_name"
"201","","","","","skipped","missing_recipe_id_and_recipe_name"
"202","","","","","skipped","missing_recipe_id_and_recipe_name"
"203","","","","","skipped","missing_recipe_id_and_recipe_name"
"204","","","","","skipped","missing_recipe_id_and_recipe_name"
"205","","","","","skipped","missing_recipe_id_and_recipe_name"
"206","","","","","skipped","missing_recipe_id_and_recipe_name"
"207","","","","","skipped","missing_recipe_id_and_recipe_name"
"208","","","","","skipped","missing_recipe_id_and_recipe_name"
"209","","","","","skipped","missing_recipe_id_and_recipe_name"
"210","","","","","skipped","missing_recipe_id_and_recipe_name"
"211","","","","","skipped","missing_recipe_id_and_recipe_name"
"212","","","","","skipped","missing_recipe_id_and_recipe_name"
"213","","","","","skipped","missing_recipe_id_and_recipe_name"
"214","","","","","skipped","missing_recipe_id_and_recipe_name"
"215","","","","","skipped","missing_recipe_id_and_recipe_name"
"216","","","","","skipped","missing_recipe_id_and_recipe_name"
"217","","","","","skipped","missing_recipe_id_and_recipe_name"
"218","","","","","skipped","missing_recipe_id_and_recipe_name"
"219","","","","","skipped","missing_recipe_id_and_recipe_name"
"220","","","","","skipped","missing_recipe_id_and_recipe_name"
"221","","","","","skipped","missing_recipe_id_and_recipe_name"
"222","","","","","skipped","missing_recipe_id_and_recipe_name"
"223","","","","","skipped","missing_recipe_id_and_recipe_name"
"224","","","","","skipped","missing_recipe_id_and_recipe_name"
"225","","","","","skipped","missing_recipe_id_and_recipe_name"
"226","","","","","skipped","missing_recipe_id_and_recipe_name"
"227","","","","","skipped","missing_recipe_id_and_recipe_name"
"228","","","","","skipped","missing_recipe_id_and_recipe_name"
"229","","","","","skipped","missing_recipe_id_and_recipe_name"
"230","","","","","skipped","missing_recipe_id_and_recipe_name"
"231","","","","","skipped","missing_recipe_id_and_recipe_name"
"232","","","","","skipped","missing_recipe_id_and_recipe_name"
"233","","","","","skipped","missing_recipe_id_and_recipe_name"
"234","","","","","skipped","missing_recipe_id_and_recipe_name"
"235","","","","","skipped","missing_recipe_id_and_recipe_name"
"236","","","","","skipped","missing_recipe_id_and_recipe_name"
"237","","","","","skipped","missing_recipe_id_and_recipe_name"
"238","","","","","skipped","missing_recipe_id_and_recipe_name"
"239","","","","","skipped","missing_recipe_id_and_recipe_name"
"240","","","","","skipped","missing_recipe_id_and_recipe_name"
"241","","","","","skipped","missing_recipe_id_and_recipe_name"
"242","","","","","skipped","missing_recipe_id_and_recipe_name"
"243","","","","","skipped","missing_recipe_id_and_recipe_name"
"244","","","","","skipped","missing_recipe_id_and_recipe_name"
"245","","","","","skipped","missing_recipe_id_and_recipe_name"
"246","","","","","skipped","missing_recipe_id_and_recipe_name"
"247","","","","","skipped","missing_recipe_id_and_recipe_name"
"248","","","","","skipped","missing_recipe_id_and_recipe_name"
"249","","","","","skipped","missing_recipe_id_and_recipe_name"
"250","","","","","skipped","missing_recipe_id_and_recipe_name"
"251","","","","","skipped","missing_recipe_id_and_recipe_name"
"252","","","","","skipped","missing_recipe_id_and_recipe_name"
"253","","","","","skipped","missing_recipe_id_and_recipe_name"
"254","","","","","skipped","missing_recipe_id_and_recipe_name"
"255","","","","","skipped","missing_recipe_id_and_recipe_name"
"256","","","","","skipped","missing_recipe_id_and_recipe_name"
"257","","","","","skipped","missing_recipe_id_and_recipe_name"
"258","","","","","skipped","missing_recipe_id_and_recipe_name"
"259","","","","","skipped","missing_recipe_id_and_recipe_name"
"260","","","","","skipped","missing_recipe_id_and_recipe_name"
"261","","","","","skipped","missing_recipe_id_and_recipe_name"
"262","","","","","skipped","missing_recipe_id_and_recipe_name"
"263","","","","","skipped","missing_recipe_id_and_recipe_name"
"264","","","","","skipped","missing_recipe_id_and_recipe_name"
"265","","","","","skipped","missing_recipe_id_and_recipe_name"
"266","","","","","skipped","missing_recipe_id_and_recipe_name"
"267","","","","","skipped","missing_recipe_id_and_recipe_name"
"268","","","","","skipped","missing_recipe_id_and_recipe_name"
"269","","","","","skipped","missing_recipe_id_and_recipe_name"
"270","","","","","skipped","missing_recipe_id_and_recipe_name"
"271","","","","","skipped","missing_recipe_id_and_recipe_name"
"272","","","","","skipped","missing_recipe_id_and_recipe_name"
"273","","","","","skipped","missing_recipe_id_and_recipe_name"
"274","","","","","skipped","missing_recipe_id_and_recipe_name"
"275","","","","","skipped","missing_recipe_id_and_recipe_name"
"276","","","","","skipped","missing_recipe_id_and_recipe_name"
"277","","","","","skipped","missing_recipe_id_and_recipe_name"
"278","","","","","skipped","missing_recipe_id_and_recipe_name"
"279","","","","","skipped","missing_recipe_id_and_recipe_name"
"280","","","","","skipped","missing_recipe_id_and_recipe_name"
"281","","","","","skipped","missing_recipe_id_and_recipe_name"
"282","","","","","skipped","missing_recipe_id_and_recipe_name"
"283","","","","","skipped","missing_recipe_id_and_recipe_name"
"284","","","","","skipped","missing_recipe_id_and_recipe_name"
"285","","","","","skipped","missing_recipe_id_and_recipe_name"
"286","","","","","skipped","missing_recipe_id_and_recipe_name"
"287","","","","","skipped","missing_recipe_id_and_recipe_name"
"288","","","","","skipped","missing_recipe_id_and_recipe_name"
"289","","","","","skipped","missing_recipe_id_and_recipe_name"
"290","","","","","skipped","missing_recipe_id_and_recipe_name"
"291","","","","","skipped","missing_recipe_id_and_recipe_name"
"292","","","","","skipped","missing_recipe_id_and_recipe_name"
"293","","","","","skipped","missing_recipe_id_and_recipe_name"
"294","","","","","skipped","missing_recipe_id_and_recipe_name"
"295","","","","","skipped","missing_recipe_id_and_recipe_name"
"296","","","","","skipped","missing_recipe_id_and_recipe_name"
"297","","","","","skipped","missing_recipe_id_and_recipe_name"
"298","","","","","skipped","missing_recipe_id_and_recipe_name"
"299","","","","","skipped","missing_recipe_id_and_recipe_name"
"300","","","","","skipped","missing_recipe_id_and_recipe_name"
"301","","","","","skipped","missing_recipe_id_and_recipe_name"
"302","","","","","skipped","missing_recipe_id_and_recipe_name"
"303","","","","","skipped","missing_recipe_id_and_recipe_name"
"304","","","","","skipped","missing_recipe_id_and_recipe_name"
"305","","","","","skipped","missing_recipe_id_and_recipe_name"
"306","","","","","skipped","missing_recipe_id_and_recipe_name"
"307","","","","","skipped","missing_recipe_id_and_recipe_name"
"308","","","","","skipped","missing_recipe_id_and_recipe_name"
"309","","","","","skipped","missing_recipe_id_and_recipe_name"
"310","","","","","skipped","missing_recipe_id_and_recipe_name"
"311","","","","","skipped","missing_recipe_id_and_recipe_name"
"312","","","","","skipped","missing_recipe_id_and_recipe_name"
"313","","","","","skipped","missing_recipe_id_and_recipe_name"
"314","","","","","skipped","missing_recipe_id_and_recipe_name"
"315","","","","","skipped","missing_recipe_id_and_recipe_name"
"316","","","","","skipped","missing_recipe_id_and_recipe_name"
"317","","","","","skipped","missing_recipe_id_and_recipe_name"
"318","","","","","skipped","missing_recipe_id_and_recipe_name"
"319","","","","","skipped","missing_recipe_id_and_recipe_name"
"320","","","","","skipped","missing_recipe_id_and_recipe_name"
"321","","","","","skipped","missing_recipe_id_and_recipe_name"
"322","","","","","skipped","missing_recipe_id_and_recipe_name"
"323","","","","","skipped","missing_recipe_id_and_recipe_name"
"324","","","","","skipped","missing_recipe_id_and_recipe_name"
"325","","","","","skipped","missing_recipe_id_and_recipe_name"
"326","","","","","skipped","missing_recipe_id_and_recipe_name"
"327","","","","","skipped","missing_recipe_id_and_recipe_name"
"328","","","","","skipped","missing_recipe_id_and_recipe_name"
"329","","","","","skipped","missing_recipe_id_and_recipe_name"
"330","","","","","skipped","missing_recipe_id_and_recipe_name"
"331","","","","","skipped","missing_recipe_id_and_recipe_name"
"332","","","","","skipped","missing_recipe_id_and_recipe_name"
"333","","","","","skipped","missing_recipe_id_and_recipe_name"
"334","","","","","skipped","missing_recipe_id_and_recipe_name"
"335","","","","","skipped","missing_recipe_id_and_recipe_name"
"336","","","","","skipped","missing_recipe_id_and_recipe_name"
"337","","","","","skipped","missing_recipe_id_and_recipe_name"
"338","","","","","skipped","missing_recipe_id_and_recipe_name"
"339","","","","","skipped","missing_recipe_id_and_recipe_name"
"340","","","","","skipped","missing_recipe_id_and_recipe_name"
"341","","","","","skipped","missing_recipe_id_and_recipe_name"
"342","","","","","skipped","missing_recipe_id_and_recipe_name"
"343","","","","","skipped","missing_recipe_id_and_recipe_name"
"344","","","","","skipped","missing_recipe_id_and_recipe_name"
"345","","","","","skipped","missing_recipe_id_and_recipe_name"
"346","","","","","skipped","missing_recipe_id_and_recipe_name"
